place_id,name,type,subtypes,category,latitude,longitude,rating,reviews
ChIJu6zfm1a2lUcRjMHQj8AotUs,Group practice Dr. med. Christian Fissler,Internist,"Internist, Doctor, General practitioner",Internist,49.267003,7.045061,4.8,32.0
ChIJBS3wxgO3lUcRI0JLLbFuoyE,Frau Anne Meier-Heinrich,Internist,Internist,Internist,49.27666,7.035679999999999,4.2,11.0
ChIJmWfsyAO3lUcRwnneMuvfF-s,Herr Dr. med. Waldemar Fatz,Internist,Internist,Internist,49.2762961,7.0356257,4.9,13.0
ChIJb_8wedR9C0ERworvTyoYpAk,Dr. med. Stefan Gordz,Internist,Internist,Internist,49.2766775,7.033389,4.6,17.0
ChIJMaKoUAK3lUcRN78Q4Il64QE,Herr Bernd Reinelt,Internist,Internist,Internist,49.2753136,7.033798099999999,1.0,2.0
ChIJWSR5L1K2lUcRaqA7l7TDjq0,Dr. Edith Braun,Doctor,Doctor,Arzt,49.2677072,7.0511732,3.5,2.0
ChIJ3VvEpAC3lUcRlc20BxCX1Uw,Herr Dr. med. Peter Hauptmann,Doctor,Doctor,Arzt,49.27716059999999,7.0426405,5.0,1.0
ChIJ_0NI6QO3lUcRKZLUqas4O2c,Gemeinschaftspraxis Dr. med. Martin Treitz & Alane Garber,General practitioner,General practitioner,Allgemeinmediziner,49.2773434,7.0363226,5.0,1.0
ChIJ_0NI6QO3lUcRbRehiFbVwIs,Frau Dr. med. Ruth Pulch-Kleer,Doctor,Doctor,Arzt,49.2773434,7.0363226,1.0,1.0
ChIJac3SkVa2lUcRJnV_n8suXio,Praxis Allmannsberger Dudweiler,Doctor,"Doctor, Health consultant",Arzt,49.2667683,7.044830699999999,4.2,51.0
ChIJhbi5CgS3lUcRK39K_A3yfaA,Dr. Ingrid Höfeld Allgemeinmedizin,Doctor,Doctor,Arzt,49.2782067,7.0361921,4.9,22.0
ChIJl5pADwO3lUcRXd7q4GDm330,Dr.med. Georg Domanowsky Facharzt für Neurologie und Psychiatrie,Neurologist,Neurologist,Neurologe,49.2766775,7.033389,4.0,4.0
ChIJBzdghwG3lUcR6Hf2gjuayew,Herr Dr. med. Dieter Lärmann,Doctor,Doctor,Arzt,49.2754779,7.0360749,4.5,2.0
ChIJJyoyO0pE2WQROQ5HBk_fM3A,EundH Metallbau,Metal construction company,Metal construction company,Metallbauunternehmen,49.2690507,7.0107158,5.0,1.0
ChIJB09Nmd-2lUcRx1z4_tC1GYg,Goffing Philipp GmbH,General contractor,"General contractor, Heating contractor",Generalunternehmer,49.2736206,7.0147371,4.4,26.0
ChIJfxTRIeK2lUcRwTQJ9kjQiCI,SHG Haustechnik GmbH,HVAC contractor,"HVAC contractor, Bathroom remodeler, Electrical installation service, Gasfitter, Heating contractor, Heating equipment supplier, Swimming pool supply store, Tile contractor, Water damage restoration service",Heizungs- und Klimatechnikbetrieb,49.272149,7.022764899999999,4.3,18.0
ChIJE60TMQK3lUcRwDV16BwxFvc,Instroi GmbH,Construction company,Construction company,Bauunternehmen,49.2770798,7.02772,5.0,4.0
ChIJwRaeZcq3lUcR5zDOlZj3oGo,SaarGrundbau GmbH & Co. KG,Civil engineering company,Civil engineering company,Bauunternehmen,49.2645213,7.000885599999999,4.9,7.0
ChIJHVPdQuK2lUcRCC1V_wxwA-U,Rudolf Steffes GmbH,Plasterer,"Plasterer, Dry wall contractor, Painter",Stuckateur,49.2724155,7.0257299,4.4,21.0
ChIJRW_WGRy3lUcRkEUIzfYdgmE,Bauunternehmung Gebr. Weinbrecht GmbH,Building firm,"Building firm, Masonry contractor",Bauunternehmen,49.27766889999999,7.0253469,5.0,3.0
ChIJu33q4eW3lUcRg89MTTixQEE,Schlosserei Jung & Mildau,Metal construction company,Metal construction company,Metallbauunternehmen,49.2749702,7.0200552,5.0,13.0
ChIJfWPZDee2lUcRrEUrLW-vHn4,Bauunternehmung M. Robiné,Construction company,Construction company,Bauunternehmen,49.2722376,7.025951999999999,5.0,13.0
ChIJW0VTIA63lUcR3LkM_-Nh-Xo,Alexander KARWAT & Sohn GmbH,Construction company,"Construction company, General contractor",Bauunternehmen,49.28730119999999,7.0334846,5.0,3.0
ChIJIwq_SR63lUcRv2Kc_hi57xg,Stahlbau Kläs UG,Metal construction company,Metal construction company,Metallbauunternehmen,49.2755042,7.0215447,5.0,1.0
ChIJpYMw3AS3lUcR7kTzFDmcVgI,Stahl- und Apparatebau Hans Leffer GmbH & Co. KG,Steel construction company,Steel construction company,Steel construction company,49.2830773,7.030418,4.6,37.0
ChIJZZuQ4x23lUcRVuVI_toItEA,D+S Hoch- und Tiefbau GmbH,Construction company,Construction company,Bauunternehmen,49.2748557,7.0244265,4.3,4.0
ChIJOegRI-K2lUcRMgEzEH3q1h0,Readymix Beton Saar-Mosel GmbH,Ready mix concrete supplier,Ready mix concrete supplier,Fertigbeton-Anbieter,49.2724695,7.0239916,5.0,1.0
ChIJTY8Hrx-3lUcRrz3A1vZuj7U,Markus Dreßler GmbH,Construction company,Construction company,Bauunternehmen,49.2763723,7.020407499999999,,
ChIJW1d3buK2lUcRGlmrNHL-Qkc,Robine GmbH & Co. KG,Construction company,Construction company,Bauunternehmen,49.2731131,7.0258831,3.0,2.0
ChIJUXD9dqu3lUcR1924bfJjIkw,Vitesse Projektgesellschaft mbH,Real estate developer,Real estate developer,Bauprojektentwickler,49.2748461,7.0480968,,
ChIJdWtHw-C2lUcRKzpNj2iro_U,Gabriel Wünsch Haustechnik,HVAC contractor,"HVAC contractor, Electrician",Heizungs- und Klimatechnikbetrieb,49.2702164,7.0188956,2.3,3.0
ChIJofWniFK2lUcRghYpwpYUmxk,Fliesen & Natursteine Martin Sowada Fliesenlegermeister,Tile contractor,Tile contractor,Fliesenleger,49.2698949,7.05333,4.8,17.0
ChIJG1faYB63lUcRA3-3giH6uSU,N&M Aussenanlagen,Construction company,Construction company,Impresa di costruzioni,49.2763352,7.0229719,,
ChIJd1318Qa3lUcRZaGji4cW6jI,Fliesen & Kunststoffbeläge/Balkonsanierung Alfred Zimmer,Tile contractor,Tile contractor,Fliesenleger,49.2800817,7.0398424,4.8,6.0
ChIJ2YnFVAC3lUcRNI12JWFRabA,Sprengart Dieter Garagenbau,Home builder,Home builder,Wohnungsbauunternehmen,49.2722458,7.0317911,,
ChIJEw2kZlG2lUcR1beNZmmpxVg,Bauunternehmung Andreacchio,Construction company,Construction company,Construction company,49.2669927,7.0490083,5.0,1.0
ChIJOYQtn9q2lUcRgLvSR5F1ePw,Kurz Mitja Ecce-Design,Interior designer,Interior designer,Innenarchitekt,49.2665839,7.0031099,4.0,1.0
ChIJY7hQVhG3lUcRgOhjkhfKuYk,Rolladen Kessler GmbH,Window supplier,"Window supplier, Awning supplier, Construction company, Door supplier, Garage door supplier, Home automation company, Patio enclosure supplier, Sunblind supplier, Sunroom contractor",Fensteranbieter,49.288853,7.0281112,4.5,139.0
ChIJAwA8dAO3lUcRytVHbu6ecAQ,Johann Resch GmbH - Heizung-Sanitär-Elektrik,General contractor,General contractor,Generalunternehmer,49.2788542,7.037770999999999,4.4,18.0
ChIJl5pADwO3lUcRNJVfsLtX-do,Dr. med. Hanno Braun,Chiropractor,"Chiropractor, Orthopedic surgeon",Chiropraktiker,49.2766775,7.033389,4.3,11.0
ChIJFyC_WgK3lUcR-aJeioHQi0k,Orthopädische Praxis Dr. med. Martin Hess,Chiropractor,"Chiropractor, Orthopedic surgeon, Occupational medical physician",Orthopäde,49.275213,7.0342027,4.3,63.0
ChIJiayBWQK3lUcR84r_rC8Zz6Q,Heilpraktiker Julian Schwarz,Naturopathic practitioner,"Naturopathic practitioner, Acupuncturist, Alternative medicine practitioner, Craniosacral therapy, Osteopath, Psychic, Psychotherapist",Naturheilpraktiker,49.2750932,7.0338189,5.0,14.0
ChIJv_qjdwG3lUcRSElBlKj2eBs,Ortho-Zentrum-Saar,Orthopedic surgeon,"Orthopedic surgeon, Doctor",Orthopäde,49.27589,7.03763,3.4,75.0
ChIJYwOTIPi3lUcROX6U2tRLlsM,AWO Ortsverein Dudweiler (u. a. Kleiderbörse),Non-profit organization,"Non-profit organization, Club, Charity, Social services organization",Gemeinnützige Organisation,49.2745548,7.041333,,
ChIJf7bTV8W2lUcRQenvmdpfNws,Diakonisches Werk an der Saar gGmbH,Charity,Charity,Gemeinnützige Organisation,49.2646082,7.0027306,4.5,2.0
ChIJaw4LsgO3lUcRJTY_wQPY67w,Deutsches Rotes Kreuz,Association / Organization,Association / Organization,Vereinigung / Organisation,49.2762107,7.0347763,4.9,10.0
ChIJvWLRiNi2lUcRYjSvXOaSoso,AWO Ortsverein Herrensohr,Association / Organization,Association / Organization,Vereinigung / Organisation,49.274144,7.0089967,4.4,5.0
ChIJxfLCdAa3lUcRp14gGFaYdnw,DRK-Heim,Association / Organization,Association / Organization,Association / Organization,49.2819432,7.0385627,3.8,22.0
ChIJVVUZtP-2lUcRmIcyJH7nSRY,Herzlich Willkommen,,,,49.2715324,7.039206399999999,,
ChIJladpgA23lUcRw8fCTBsFTBY,Der andere Laden,Thrift store,Thrift store,Gebrauchtwarenladen,49.2771787,7.0360219,2.0,4.0
ChIJDRZ_dQa3lUcRUsOZ06aEYYQ,"Deutsches Rotes Kreuz, Ortsverein Dudweiler e.V.",Club,Club,Verein,49.2818802,7.0383106,4.8,10.0
ChIJr6W26Ai3lUcR8aIrTJqIgvU,Heimat- und Kulturverein Dudweiler-Nord e. V.,Club,Club,Verein,49.28499,7.040999999999999,4.7,3.0
ChIJO8aONQS3lUcRBrV5LyFB9SY,Jugendzentrum,Youth center,Youth center,Jugendzentrum,49.28066,7.036449999999999,4.7,3.0
ChIJocuJmwG3lUcRdcbIL78C1Ro,Fachdienst Selbstbestimmtes Wohnen Saarbrücken | Der Schwesternverband,Assisted living facility,"Assisted living facility, Consultant, Mental health service",Einrichtung für betreutes Wohnen,49.2750306,7.0366569,,
ChIJgw4hf6m3lUcRTJntUZOFVFg,Lebenshilfe für Menschen mit Behinderung Ortsvereinigung Sulzbach-/Fischbachtal e.V.,Charity,Charity,Gemeinnützige Organisation,49.2780131,7.0469769,4.6,11.0
ChIJ4cZI7Pu2lUcRvlQxutXizX4,Kirchenkinder St. Bonifatius,Day care center,Day care center,Kindertagesstätte,49.2675323,7.0342569,5.0,2.0
ChIJXULiswO3lUcRwPZxfP445bs,DRK Sozialzentrum am Markt Dudweiler,Nursing home,Nursing home,Pflegeheim,49.2761612,7.0348735,4.2,12.0
ChIJo2SAqPu3lUcRs1A2jpBjCn4,Stationäre Pflege im DRK,Retirement home,Retirement home,Seniorenheim,49.2761962,7.0348656,,
ChIJMX4wMvq3lUcRgV13ypcoa5c,Studentenwohnungen BergmannHeim,Apartment building,Apartment building,Apartmenthaus,49.2752184,7.0363636,5.0,2.0
ChIJ3czbwf22lUcReB2duEOySC0,Roland Koch,Building materials supplier,Building materials supplier,Baufachhandel,49.2720559,7.034219299999999,,
ChIJr3bVYQC3lUcRbNZlFodlrrY,Pallaschek Lothar & Claudia,Apartment building,Apartment building,Apartmenthaus,49.2713585,7.035636999999999,,
ChIJXwk6N1W2lUcR7B6UDOpLsAM,Decorisa Altfliesen GbR,Tile store,Tile store,Fliesenfachhandel,49.2723483,7.0439415,5.0,1.0
ChIJsxi-fwO3lUcRZck2u56eDRI,66125,Building,Building,,49.2783794,7.034101799999999,,
ChIJOegRI-K2lUcRkF9tBGXXSm0,Holcim concrete and concrete products GmbH,Concrete factory,"Concrete factory, Building materials store",Betonwerk,49.2724695,7.0239916,4.1,8.0
ChIJoc_Tfga3lUcRh7PgieODX-Y,Felix Röhlinger - builders' merchant store,Building materials store,"Building materials store, Garden center, Home improvement store, Tool store",Baustoffhandel,49.28114,7.038279999999999,4.6,80.0
ChIJW2BPZK63lUcRUgQPalGaIqA,Bauexperts: Dipl.-Ing. Oliver Dreyer,Home inspector,"Home inspector, Appraiser, Estate appraiser, Real estate appraiser, Real estate consultant",Baugutachter,49.2782288,7.049066,5.0,1.0
ChIJ2zHVSAK3lUcRAEncsvW5qPo,Trattoria Naccarato,Italian restaurant,Italian restaurant,restaurants,49.2753492,7.034731,4.6,470.0
ChIJL6G8cw-3lUcRVPx40aUnaO4,"Pizzeria Calabria ""Da Tarzan "" Saarbrücken",Pizza restaurant,"Pizza restaurant, Italian restaurant, Meal delivery",restaurants,49.2845893,7.0361099,4.4,200.0
ChIJ-XQUtaG3lUcRmlyfhpxkn0o,GLOBUS Restaurant Dudweiler,Restaurant,Restaurant,restaurants,49.2896612,7.0260469,4.2,139.0
ChIJBzdghwG3lUcRuKu3_WH1WSo,Restaurant China City,Chinese restaurant,"Chinese restaurant, Buffet restaurant",restaurants,49.2757122,7.036204499999999,4.1,963.0
ChIJhdHscVW2lUcRtfH3nJE6tg8,Gaststätte Zwickel,Restaurant,"Restaurant, Beer garden, Bistro, Espresso bar",restaurants,49.2707087,7.0429491,4.4,347.0
ChIJKTfaPwK3lUcRLYnVI_CL05A,Kopp's Haus,Restaurant,Restaurant,restaurants,49.274359,7.0350836,4.6,143.0
ChIJv8jHNfy2lUcRa2MDp8Ip63c,Jahnschenke,Restaurant,"Restaurant, Food and drink",restaurants,49.2704128,7.034243699999999,4.4,204.0
ChIJp-CwqAa3lUcRxpfRIMo5eOI,Asien Ruby Restaurant,Restaurant,Restaurant,restaurants,49.2788262,7.037883,4.6,249.0
ChIJi6kzjAa3lUcR1sKZPsyeIIM,Gasthaus Deutsch,Gastropub,"Gastropub, Beer garden, Bistro, Wine bar",restaurants,49.2802422,7.039180999999999,4.5,62.0
ChIJTT5Mchu3lUcR_5dIOuULNNg,Zum Engelsche,Restaurant,Restaurant,restaurants,49.27978,7.02914,4.5,47.0
ChIJfzI3BgS3lUcRWjfYoVaWf_c,Wolfgang Sämann,Restaurant,Restaurant,restaurants,49.2787853,7.036815,4.9,11.0
ChIJxxqczVO2lUcR7-sbtMkm3eg,Bistro G4,Bistro,Bistro,restaurants,49.2679572,7.0503155,4.7,16.0
