place_id,type,reviews,rating
ChIJ__9bl1a2lUcRNdh47UKjaME,Internist,,
ChIJb_8wedR9C0ERworvTyoYpAk,Internist,17.0,4.6
ChIJmWfsyAO3lUcRwnneMuvfF-s,Internist,13.0,4.9
ChIJMaKoUAK3lUcRN78Q4Il64QE,Internist,2.0,1.0
ChIJ_0NI6QO3lUcRKZLUqas4O2c,Internist,1.0,5.0
ChIJhbi5CgS3lUcRK39K_A3yfaA,Internist,23.0,4.9
ChIJ-XqZBQO3lUcRgU_UorfiTHk,Internist,47.0,4.2
ChIJu6zfm1a2lUcRjMHQj8AotUs,Internist,32.0,4.8
ChIJBS3wxgO3lUcRI0JLLbFuoyE,Internist,12.0,4.3
ChIJQ9nSWQK3lUcR55InmiswUtg,Doctor,98.0,4.0
ChIJFyC_WgK3lUcRslcCQhia4qY,Doctor,,
ChIJBS3wxgO3lUcR_kw8V1vXHTE,Doctor,35.0,3.5
ChIJMaKoUAK3lUcRKCSq46bZj9A,Doctor,49.0,3.6
ChIJ3VvEpAC3lUcRgOr6LKT11pk,Doctor,,
ChIJBS3wxgO3lUcRIAc-FbETxj8,Doctor,38.0,4.4
ChIJ3VvEpAC3lUcRlc20BxCX1Uw,Doctor,1.0,5.0
ChIJue5JtZ63lUcRzmSk03-B-DM,Doctor,70.0,4.9
ChIJl5pADwO3lUcRq9LvvPepzko,Doctor,3.0,3.7
ChIJoYcSfNR9C0ERwey7KahBdJU,Doctor,46.0,3.6
ChIJWSR5L1K2lUcRaqA7l7TDjq0,Doctor,2.0,3.5
ChIJAZ1kpAO3lUcReixs3oK6QAc,Doctor,38.0,4.4
ChIJ3VvEpAC3lUcRO7Ee4NBlNMA,Doctor,,
ChIJG4E81Fa2lUcRMebyAhuqbg4,Doctor,,
ChIJl5pADwO3lUcRXd7q4GDm330,Doctor,4.0,4.0
ChIJOR-njTS3lUcRAPvWxEnMVmc,Doctor,139.0,4.2
ChIJBS3wxgO3lUcR2L3STzM8ckM,Doctor,29.0,4.2
ChIJ_0NI6QO3lUcRbRehiFbVwIs,Doctor,1.0,1.0
