place_id,name,type,subtypes,category,latitude,longitude,rating,reviews
ChIJP6HWkH6xlUcRN-7mq_71PAM,Herr Dr. med. Thomas Frithjof Seel,Internist,Internist,Internist,49.2417621,6.939989,,
ChIJzwv4fPezlUcRMXmsySMRDLU,Dr. Horst Gansert,Internist,Internist,Internist,49.2257541,6.9760005,,
ChIJQ7cD4iiylUcRnNlCtNXW1R4,Herr Dr. med. Christof Weber,Internist,Internist,Internist,49.2357839,6.9237616,4.4,52.0
ChIJ-bhBfPezlUcRJQzYGBNsKyc,Dr.med. Horst Lauterbach Facharzt für Innere Medizin,Internist,Internist,Internist,49.2258612,6.976644299999999,,
ChIJtVHivH6xlUcRY0qph2pN9UA,Frau Dr. med. Monika Meisch,Internist,Internist,Internist,49.2422883,6.94014,3.0,29.0
ChIJzUPYu42xlUcRE3QgGp00E1I,Schweng Saarbrücken,Construction company,Construction company,Bauunternehmen,49.238675,6.9655558,4.8,29.0
ChIJM97JrBGzlUcR20lrWRKrobA,Renova Saar,Building restoration service,"Building restoration service, Cleaners, Door shop, Remodeler, Window cleaning service, Window supplier",Gebäuderestaurierungsdienst,49.2337046,6.925630399999999,5.0,2.0
ChIJ07szLkmxlUcRU-wlVOYHccQ,VerputzSaar GbR,Dry wall contractor,Dry wall contractor,Trockenbauunternehmen,49.25094559999999,6.979812399999999,4.4,5.0
ChIJNZkZ0l-xlUcRzeag_30WrKE,Wohn- und Gewerbebau Saarbrücken GmbH,Construction company,Construction company,Bauunternehmen,49.23942,6.95966,5.0,1.0
ChIJRcaE4nqxlUcR0xEus0yICXA,GaLa Bau Kevin Eifler,Landscaper,Landscaper,Gartenbauer,49.2482069,6.9489513,5.0,5.0
ChIJ-abmuheylUcRkoZZ-MEFz0s,Bauunternehmung Brechtel GmbH,Construction company,Construction company,Bauunternehmen,49.2283126,6.9038489,5.0,5.0
ChIJKQHl79KxlUcRUuPyrA8co9c,Isak Haus- und Gartenservice Saarbrücken,Landscaper,"Landscaper, Gardener, Landscape designer, Landscaping supply store",Gartenbauer,49.2402446,6.9734446,3.0,4.0
ChIJ0yMMrLOzlUcRSAD491kyWr8,Aphameabau,Masonry contractor,Masonry contractor,Maurer,49.2350071,6.9721202,,
ChIJ6bGCtVqxlUcRdb8Je5kK3s4,Bender Service,Janitorial service,"Janitorial service, Courier service, Interior designer, Moving company, Property management company",Hausmeisterservice,49.2464546,6.9716739,5.0,1.0
ChIJ8TOGzE6xlUcRWVQYkwcwwLs,Medgo UG,Metal construction company,"Metal construction company, Metal processing company, Metalware producer",Metallbauunternehmen,49.250652,6.9785999,4.4,14.0
ChIJGXrd16yxlUcRb25JlPwChUQ,Metallbau Berkani,Metal construction company,Metal construction company,Metallbauunternehmen,49.23343999999999,6.9667897,5.0,7.0
ChIJ4a6tfouzlUcRu6w8q9lGvPU,Hans Trautmann,Metal construction company,"Metal construction company, Metal working shop",Metallbauunternehmen,49.21382,6.97174,5.0,2.0
ChIJXVHEuv-zlUcRo2xMkqnP5XI,Schorr Trockenbau,Construction company,Construction company,Bauunternehmen,49.2340505,6.9804039,,
ChIJt5Agdge0lUcRwzGiScuyu_g,Reis Messebau Design GmbH,Real estate developer,Real estate developer,Bauprojektentwickler,49.22833319999999,6.9820936,4.8,4.0
ChIJt5jxZ7uxlUcRXqJ2AI-DJoM,Badsanierung Bajrami,Bathroom remodeler,"Bathroom remodeler, Heating contractor, Tile contractor",Sanitärtechnik,49.2397145,6.976960699999999,4.6,11.0
ChIJQ6K8kNC7lUcRbYxnWqu5i9Q,Mack Kurt GmbH,Fish farm,"Fish farm, Metal construction company, Metal working shop, Steel construction company",Fischfarm,49.2270828,6.972289699999999,5.0,1.0
ChIJTREKL1mxlUcRMBjffbtjqiU,B+M Baustoff + Metall Handels-GmbH,Dry wall supply store,"Dry wall supply store, Construction company",Trockenbau-Fachhandel,49.2397956,6.966071599999999,4.5,53.0
ChIJMyk12GmxlUcRREzowuAaH5A,Fliesenlegermeister Karsten Kremer,Tile contractor,Tile contractor,Fliesenleger,49.2504838,6.9614957,4.4,5.0
ChIJJ6nSuxG2lUcRlqh_zk2BbWk,Daniel Rohr Bodenbeläge,Flooring contractor,Flooring contractor,Bodenleger,49.2418529,6.9567074,5.0,7.0
ChIJKReofnmxlUcRzkHBFinAD7k,Markus Finkler,Landscaper,"Landscaper, Cleaners, Janitorial service",Gartenbauer,49.245583,6.9413966,4.3,3.0
ChIJL2oxwt-xlUcR9mHHPRwK2zo,WIRmachenTROCKEN Bautrockner-Vermietung Saarbrücken,Water damage restoration service,"Water damage restoration service, Building equipment hire service, Construction machine rental service, Tool rental service",Wasserschadensanierung,49.2397783,6.968683,,
ChIJgb18PF6xlUcRcNtnHnyrFFA,VOLZ Parkettbau,Flooring contractor,Flooring contractor,Bodenleger,49.2405525,6.9602058,5.0,5.0
ChIJqZBlIGWxlUcRr799KCQX-H0,Gerd Albert GmbH,HVAC contractor,HVAC contractor,Heizungs- und Klimatechnikbetrieb,49.2454708,6.949362,3.0,2.0
ChIJ7QI2XlqxlUcRwxh7tC1wNd8,Ricky’s Haus und Gartenservice,Landscaper,Landscaper,Gartenbauer,49.2439652,6.9708687,,
ChIJgQgBm_yzlUcRL1a5oD0YRL8,MONDURA Wohnungsgesellschaft mbH,Real estate developer,Real estate developer,Bauprojektentwickler,49.2316911,6.9718243,3.8,4.0
