place_id,type,reviews,rating
ChIJlSsoZNKzlUcRknG3jH2MVY8,Appliance store,1.0,0.0
ChIJD29xon2xlUcRdq1yZRGgNAM,Appliance store,870.0,4.0
ChIJS1afqAOxlUcRbHej-DpkdUU,Appliance store,207.0,4.1
ChIJC05dz3uxlUcRHWiZWcAcmPM,Appliance store,554.0,4.2
ChIJyafP93yxlUcRvkQnBGxueuA,Appliance store,93.0,4.4
ChIJY55Jef6zlUcRC7pDWhRyIF0,Appliance store,481.0,3.9
ChIJv1W8pbOxlUcReAlNUx9GBhM,Appliance store,4.0,4.5
ChIJQcy11FmxlUcRXPu4mAVbqPo,Appliance store,6.0,4.5
ChIJkc9caX2xlUcRJQ4dIZ3PvQg,Appliance store,560.0,4.2
ChIJgb18PF6xlUcR_1QbOsPvFwc,Appliance store,59.0,4.8
ChIJwflcl-OxlUcRflGHxpjNbg4,Appliance store,31.0,4.3
ChIJv7xih6e2lUcRFXe6ZmDXlcA,Appliance store,17.0,4.4
ChIJB8aEpE6xlUcR9Jw8DSwht0w,Appliance store,324.0,4.3
ChIJ0Z9z-t-zlUcRpP6jFuGAe4Q,Appliance store,2017.0,4.1
ChIJa8lzmI6xlUcRAl_I2sj4wPc,Appliance store,430.0,4.2
ChIJtT7z5S2zlUcRIpPp56ASkig,Appliance store,23.0,4.5
ChIJSclcIluxlUcR2XQep4tNc2Y,Appliance store,408.0,3.2
ChIJ16GXLeWxlUcRU0Ge80N8-Tk,Appliance store,126.0,4.1
ChIJYUsVPFmxlUcRzlC0zeNgnRA,Appliance store,1299.0,4.1
ChIJmXBLJIyxlUcRaeIKxOhgzzI,Appliance store,108.0,4.3
ChIJ0xtscSSxlUcRpw8e5peKkd0,Appliance store,0.0,0.0
ChIJdUQDZoyxlUcRKF-lfDicf-U,Appliance store,0.0,0.0
ChIJq0O_ok6xlUcRFtypcedFJvU,Appliance store,964.0,4.4
ChIJExQzkvezlUcRWd7fHdMyCE4,Appliance store,501.0,3.8
ChIJgSDPdYEslkcRs9ra_7ekop8,Appliance store,474.0,3.3
ChIJdSfRBVexlUcRBZ55D2E6NPM,Appliance store,6.0,3.8
ChIJkUWbzf6zlUcRJX36ccJj_dU,Appliance store,5.0,5.0
