place_id,name,type,subtypes,category,latitude,longitude,rating,reviews
ChIJQ6K8kNC7lUcRbYxnWqu5i9Q,Mack Kurt GmbH,Fish farm,"Fish farm, Metal construction company, Metal working shop, Steel construction company",Fischfarm,49.2270828,6.972289699999999,5.0,1.0
ChIJZShF4Z6xlUcRc3GTkNCrkLo,Stuckateurbetrieb Falletta,Construction company,"Construction company, Dry wall contractor",Bauunternehmen,49.2606887,6.9775429,,
ChIJuVflXEWxlUcROZrw_YlFHOY,Norbert Langenfeld,Electrician,Electrician,Elektriker,49.2476238,6.9727823,4.7,6.0
ChIJM4LI-OF-C0ERioBTPSJgN48,GVS GmbH,Property management company,"Property management company, Apartment rental agency, Construction company, Real estate agent, Holiday apartment",Hausverwaltungsunternehmen,49.2387437,6.975146199999999,4.9,48.0
ChIJG_8MAQexlUcRxDc6ut99NtM,Yla-Deco,Dry wall contractor,Dry wall contractor,Trockenbauunternehmen,49.2443949,6.9568615,,
ChIJCZFA41ixlUcR5-wxLU9LAK8,Richard Schmeer GmbH,Bathroom remodeler,"Bathroom remodeler, Bathroom supply store, Wholesaler",Sanitärtechnik,49.2385757,6.9672747,4.2,147.0
ChIJHfa0YVixlUcRDHMO2ASQXIA,Ledig & Szymanski GmbH,Window supplier,"Window supplier, Blinds shop, Door supplier, Electric motor repair shop, Garage door supplier, Security system supplier, Window installation service",Fensteranbieter,49.2377389,6.967448999999999,3.8,34.0
ChIJH9zYIaWzlUcRARgTXifLLtA,Galand UGH,Civil engineering company,Civil engineering company,Bauunternehmen,49.2302735,6.8924097,,
ChIJactnib-xlUcRDlk2zm2JzV8,Inge Rohr Heilpraktikerin,Alternative medicine practitioner,Alternative medicine practitioner,Alternativmediziner,49.2618697,6.914769,,
ChIJvZ-vvlmxlUcRDJ77JLnx5LM,Stadtteilbüro Malstatt,Association / Organization,Association / Organization,Vereinigung / Organisation,49.2396916,6.9763506,3.8,13.0
ChIJUTpnklGxlUcRYYEuA9IlXwY,MP Härtetechnik + Vorrichtungsbau GmbH Co. KG,Metal finisher,Metal finisher,Metalloberflächenveredler,49.244389,6.9788868,4.3,8.0
ChIJvwgbrGGxlUcRRNg06Sem8kk,Gesellschaft für Innovation und Unternehmensförderung mbH,Real estate rental agency,"Real estate rental agency, Commercial real estate agency, Office space rental agency, Real estate agency, Real estate developer",Immobilienvermittlung,49.239674,6.955735199999999,3.9,9.0
ChIJx1LHteqxlUcRCob3anTUWDQ,Appo Gebäudeservice,Janitorial service,"Janitorial service, Building restoration service, Cleaners",Hausmeisterservice,49.2472137,6.953180499999999,5.0,19.0
ChIJ26yAvH2xlUcRiO7i0bXlS5w,Glas Adolph GmbH,Glazier,"Glazier, Glass repair service, Glass shop, Handicraft",Glaser,49.2394475,6.9420701,4.4,40.0
ChIJq1eyRwyylUcRSTLBHcobjdM,66127,Building,Building,,49.2247464,6.8888614,,
ChIJCVSzxtWzlUcR9JX7Y_Z7iJA,Schnabels Restaurant,Restaurant,"Restaurant, Wine store",restaurants,49.2369044,6.9384144,4.8,334.0
ChIJr6UFXIyxlUcROzTWDhFt5q0,Da Carlo,Italian restaurant,Italian restaurant,restaurants,49.2371962,6.9391189,4.4,295.0
ChIJZ3OSCGqxlUcRRPGN_w2zy9U,Sternschnuppe Saarbrücken,Gastropub,"Gastropub, Bar, Pub",restaurants,49.2528619,6.9622572,4.6,25.0
ChIJafnqOQCxlUcRQPatY55hGlc,Rastpfuhler Haus,Pizza restaurant,Pizza restaurant,restaurants,49.25477559999999,6.967794899999999,5.0,2.0
ChIJS3fFJMSxlUcRloRjChsAx4s,سوق العرب ساربروكن,Restaurant,Restaurant,restaurants,49.23965459999999,6.974149,3.9,22.0
ChIJoQtCo1mxlUcR1tlbA5X5kxQ,Milano Saarbrücken Pizza & Kebap,Pizza delivery,"Pizza delivery, Kebab shop, Pizza restaurant",Pizza-Lieferdienst,49.2398383,6.970801,3.5,126.0
ChIJEZelQGWxlUcR4C-yw_Rlr18,Pilsstube Pizzeria Siena,Pizza restaurant,"Pizza restaurant, Italian restaurant",restaurants,49.2466723,6.9496178,4.4,132.0
ChIJ40kj03-xlUcRvM9u0N1rYQw,مشاوي سلورة ساربروكن,Restaurant,Restaurant,restaurants,49.24026,6.969209999999999,4.0,71.0
