         4208531 function calls (4200528 primitive calls) in 515.262 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  515.267  515.267 3788495987.py:344(main)
    646/2    0.043    0.000  515.260  257.630 3788495987.py:245(quadtree_search)
      646    0.014    0.000  514.241    0.796 3788495987.py:128(search_pois)
      646    0.008    0.000  514.174    0.796 api.py:103(post)
      646    0.008    0.000  514.165    0.796 api.py:14(request)
      646    0.010    0.000  514.077    0.796 sessions.py:500(request)
      646    0.016    0.000  513.289    0.795 sessions.py:673(send)
      646    0.010    0.000  512.920    0.794 adapters.py:613(send)
      646    0.016    0.000  512.579    0.793 connectionpool.py:594(urlopen)
    20458    0.024    0.000  382.577    0.019 {method 'readline' of '_io.BufferedReader' objects}
     1938    0.012    0.000  382.553    0.197 socket.py:692(readinto)
     1292    0.031    0.000  382.418    0.296 client.py:285(_read_status)
      646    0.017    0.000  316.213    0.489 connectionpool.py:379(_make_request)
      646    0.023    0.000  316.016    0.489 connection.py:481(getresponse)
      646    0.006    0.000  315.881    0.489 client.py:1351(getresponse)
      646    0.015    0.000  315.852    0.489 client.py:318(begin)
     1292    0.009    0.000  315.785    0.244 ssl.py:1299(recv_into)
     1292    0.005    0.000  315.775    0.244 ssl.py:1157(read)
     1292  315.770    0.244  315.770    0.244 {method 'read' of '_ssl._SSLSocket' objects}
      646    0.003    0.000  196.287    0.304 connectionpool.py:1031(_prepare_proxy)
      646    0.028    0.000  196.282    0.304 connection.py:658(connect)
      646    0.020    0.000   68.970    0.107 connection.py:835(_ssl_wrap_socket_and_match_hostname)
      646    0.004    0.000   68.919    0.107 ssl_.py:399(ssl_wrap_socket)
      646    0.003    0.000   68.903    0.107 ssl_.py:497(_ssl_wrap_socket_impl)
      646    0.004    0.000   68.901    0.107 ssl.py:511(wrap_socket)
      646    0.019    0.000   68.896    0.107 ssl.py:1018(_create)
      646    0.008    0.000   68.807    0.107 ssl.py:1375(do_handshake)
      646   68.795    0.106   68.795    0.106 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      646    0.033    0.000   66.927    0.104 client.py:923(_tunnel)
      646   66.753    0.103   66.753    0.103 {method 'recv_into' of '_socket.socket' objects}
      646    0.011    0.000   60.346    0.093 connection.py:193(_new_conn)
      646    0.011    0.000   60.331    0.093 connection.py:27(create_connection)
      646   60.266    0.093   60.266    0.093 {method 'connect' of '_socket.socket' objects}
      646    0.004    0.000    0.459    0.001 sessions.py:750(merge_environment_settings)
      646    0.002    0.000    0.445    0.001 utils.py:826(get_environ_proxies)
     1292    0.064    0.000    0.359    0.000 request.py:2499(getproxies_environment)
     1938    0.003    0.000    0.331    0.000 models.py:890(content)
    10982    0.006    0.000    0.330    0.000 {method 'join' of 'bytes' objects}
     2524    0.003    0.000    0.325    0.000 models.py:816(generate)
     2524    0.003    0.000    0.322    0.000 response.py:1038(stream)
     2524    0.016    0.000    0.318    0.000 response.py:1160(read_chunked)
      646    0.008    0.000    0.315    0.000 sessions.py:457(prepare_request)
   223516    0.079    0.000    0.311    0.000 <frozen _collections_abc>:859(__iter__)
      648    0.009    0.000    0.306    0.000 3788495987.py:76(save_pois_to_csv)
      646    0.008    0.000    0.295    0.000 3788495987.py:221(get_longest_side)
     1292    0.005    0.000    0.269    0.000 distance.py:534(__init__)
     1292    0.007    0.000    0.261    0.000 distance.py:240(__init__)
      646    0.005    0.000    0.254    0.000 utils.py:765(should_bypass_proxies)
     1292    0.008    0.000    0.251    0.000 distance.py:555(measure)
      646    0.004    0.000    0.231    0.000 utils.py:114(proxy_bypass)
      646    0.005    0.000    0.219    0.000 adapters.py:446(get_connection_with_tls_context)
     8830    0.008    0.000    0.199    0.000 response.py:1120(_update_chunk_length)
   208659    0.083    0.000    0.197    0.000 <frozen os>:674(__getitem__)
      646    0.009    0.000    0.195    0.000 client.py:231(parse_headers)
      646    0.002    0.000    0.189    0.000 request.py:2739(getproxies)
     5495    0.009    0.000    0.184    0.000 {built-in method builtins.print}
      649    0.002    0.000    0.180    0.000 interactiveshell.py:315(_modified_open)
      649    0.176    0.000    0.178    0.000 {built-in method io.open}
      646    0.005    0.000    0.177    0.000 models.py:351(prepare)
    10990    0.048    0.000    0.176    0.000 iostream.py:655(write)
      646    0.006    0.000    0.166    0.000 parser.py:59(parsestr)
      646    0.019    0.000    0.162    0.000 connection.py:365(request)
      646    0.005    0.000    0.160    0.000 parser.py:41(parse)
     1292    0.007    0.000    0.136    0.000 geodesic.py:1012(Inverse)
      646    0.003    0.000    0.128    0.000 weakref.py:585(__call__)
     1292    0.026    0.000    0.125    0.000 geodesic.py:701(_GenInverse)
      646    0.005    0.000    0.124    0.000 connectionpool.py:1174(_close_pool_connections)
     3230    0.024    0.000    0.120    0.000 url.py:369(parse_url)
      646    0.002    0.000    0.118    0.000 feedparser.py:171(feed)
   208659    0.058    0.000    0.114    0.000 <frozen os>:748(encodekey)
     1292    0.004    0.000    0.110    0.000 feedparser.py:176(_call_parse)
    10990    0.003    0.000    0.109    0.000 iostream.py:577(_schedule_flush)
     1292    0.019    0.000    0.107    0.000 feedparser.py:216(_parsegen)
      647    0.006    0.000    0.106    0.000 iostream.py:259(schedule)
      646    0.001    0.000    0.104    0.000 poolmanager.py:588(connection_from_host)
      646    0.002    0.000    0.103    0.000 poolmanager.py:276(connection_from_host)
      646    0.003    0.000    0.099    0.000 poolmanager.py:305(connection_from_context)
      646    0.005    0.000    0.094    0.000 connection.py:316(close)
      646    0.006    0.000    0.094    0.000 adapters.py:359(build_response)
      647    0.093    0.000    0.093    0.000 socket.py:626(send)
      649    0.092    0.000    0.092    0.000 {method '__exit__' of '_io._IOBase' objects}
      646    0.002    0.000    0.089    0.000 client.py:974(close)
     4038    0.014    0.000    0.086    0.000 decorators.py:62(wrapped)
      646    0.001    0.000    0.086    0.000 socket.py:499(close)
      646    0.051    0.000    0.085    0.000 ssl.py:1371(_real_close)
      646    0.003    0.000    0.082    0.000 poolmanager.py:330(connection_from_pool_key)
     1292    0.019    0.000    0.080    0.000 geodesic.py:275(__init__)
      646    0.007    0.000    0.080    0.000 models.py:409(prepare_url)
      646    0.008    0.000    0.078    0.000 utils.py:204(get_netrc_auth)
     2746    0.006    0.000    0.078    0.000 base.py:363(bounds)
      646    0.004    0.000    0.074    0.000 poolmanager.py:229(_new_pool)
      646    0.003    0.000    0.070    0.000 connectionpool.py:982(__init__)
      646    0.010    0.000    0.067    0.000 connectionpool.py:177(__init__)
     1938    0.008    0.000    0.066    0.000 client.py:988(send)
     3876    0.046    0.000    0.062    0.000 url.py:227(_encode_invalid_chars)
      646    0.006    0.000    0.062    0.000 sessions.py:390(__init__)
     1292    0.012    0.000    0.057    0.000 client.py:255(__init__)
378614/376022    0.032    0.000    0.056    0.000 {built-in method builtins.isinstance}
     2746    0.033    0.000    0.055    0.000 measurement.py:75(bounds)
      646    0.005    0.000    0.052    0.000 _collections.py:242(__init__)
     1292    0.002    0.000    0.051    0.000 <frozen genericpath>:16(exists)
     1292    0.049    0.000    0.049    0.000 {built-in method nt.stat}
      646    0.003    0.000    0.046    0.000 adapters.py:266(proxy_manager_for)
     5814    0.008    0.000    0.046    0.000 connection.py:351(putheader)
     4522    0.008    0.000    0.046    0.000 sessions.py:61(merge_setting)
     1292    0.032    0.000    0.046    0.000 socket.py:303(makefile)
      646    0.018    0.000    0.043    0.000 feedparser.py:469(_parse_headers)
      161    0.001    0.000    0.043    0.000 3788495987.py:188(divide_box)
   208659    0.033    0.000    0.042    0.000 <frozen os>:742(check_str)
      646    0.004    0.000    0.041    0.000 utils.py:76(proxy_bypass_registry)
      646    0.012    0.000    0.041    0.000 _collections.py:337(extend)
     2016    0.010    0.000    0.041    0.000 geodesic.py:430(_Lengths)
     1938    0.016    0.000    0.041    0.000 client.py:424(close)
      646    0.003    0.000    0.039    0.000 connection.py:331(putrequest)
     1292    0.005    0.000    0.039    0.000 cookies.py:124(extract_cookies_to_jar)
     1292    0.039    0.000    0.039    0.000 socket.py:220(__init__)
      724    0.008    0.000    0.038    0.000 geodesic.py:624(_Lambda12)
     3230    0.006    0.000    0.037    0.000 structures.py:40(__init__)
      646    0.010    0.000    0.034    0.000 client.py:1103(putrequest)
     3876    0.012    0.000    0.034    0.000 <frozen _collections_abc>:941(update)
     7106    0.015    0.000    0.034    0.000 queue.py:122(put)
      646    0.001    0.000    0.034    0.000 socket.py:495(_real_close)
     1938    0.008    0.000    0.034    0.000 cookies.py:521(cookiejar_from_dict)
   204136    0.033    0.000    0.033    0.000 <frozen os>:697(__iter__)
      646    0.033    0.000    0.033    0.000 {function socket.close at 0x00000262EDDC2CA0}
     1292    0.033    0.000    0.033    0.000 {built-in method winreg.OpenKey}
      646    0.003    0.000    0.032    0.000 utils.py:989(prepend_scheme_if_needed)
     7753    0.020    0.000    0.032    0.000 parse.py:374(urlparse)
      646    0.032    0.000    0.032    0.000 {method 'sendall' of '_socket.socket' objects}
    82310    0.032    0.000    0.032    0.000 geomath.py:63(polyval)
      646    0.009    0.000    0.032    0.000 models.py:658(__init__)
     5814    0.018    0.000    0.031    0.000 client.py:1259(putheader)
     8184    0.004    0.000    0.031    0.000 response.py:465(_decode)
      646    0.006    0.000    0.029    0.000 models.py:483(prepare_headers)
      646    0.001    0.000    0.029    0.000 client.py:1287(endheaders)
    35531    0.029    0.000    0.029    0.000 {method 'match' of 're.Pattern' objects}
      645    0.001    0.000    0.028    0.000 geo.py:48(box)
     1292    0.006    0.000    0.028    0.000 adapters.py:202(__init__)
      646    0.002    0.000    0.028    0.000 connectionpool.py:258(_get_conn)
     7752    0.012    0.000    0.028    0.000 queue.py:154(get)
      646    0.028    0.000    0.028    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      646    0.003    0.000    0.027    0.000 poolmanager.py:636(proxy_from_url)
      645    0.001    0.000    0.027    0.000 polygon.py:221(__new__)
      646    0.003    0.000    0.027    0.000 client.py:1049(_send_output)
     8830    0.008    0.000    0.027    0.000 response.py:121(decompress)
      646    0.005    0.000    0.026    0.000 models.py:494(prepare_body)
5168/2584    0.010    0.000    0.026    0.000 point.py:154(__new__)
     1292    0.008    0.000    0.026    0.000 ssl.py:1262(sendall)
      646    0.005    0.000    0.025    0.000 poolmanager.py:547(__init__)
     1292    0.014    0.000    0.024    0.000 geodesic.py:367(_C4coeff)
     5168    0.012    0.000    0.024    0.000 message.py:490(get)
      646    0.008    0.000    0.024    0.000 response.py:573(__init__)
     4522    0.008    0.000    0.024    0.000 url.py:303(_normalize_host)
     2584    0.005    0.000    0.024    0.000 message.py:592(get_content_type)
      646    0.005    0.000    0.024    0.000 connectionpool.py:1046(_new_conn)
42636/41344    0.016    0.000    0.023    0.000 {method 'encode' of 'str' objects}
